iid,1,2,3,4,5,6,7,8,9,10,gv1,gv2,gv3,gv4,gv5,gv6,gv7,gv8,gv9,gv10,egv1,egv2,egv3,egv4,egv5,egv6,egv7,egv8,egv9,egv10
1117,1.43108,0.682304,0.921751,-0.63973,2.16063,0.256261,-0.938204,-1.00292,-1.19107,-1.71287,1.20036,0.428262,0.783378,-0.259392,2.5726,0.112162,0.195292,-0.426275,-0.0781957,-0.335062,,,,,,,,,,
1118,1.74927,-2.6946,6.27038,4.09512,-2.16937,3.92578,9.15133,-0.450617,-6.71615,-5.04486,1.91054,-3.82925,5.69972,5.29497,-2.89567,4.14159,7.28378,-0.312093,-6.33469,-4.84564,,,,,,,,,,
1119,-0.183753,3.5752,-1.68762,-2.0127,0.394728,0.319142,1.45429,-1.53236,-2.69487,-0.807461,0.544883,1.3603,-1.15169,-0.430281,-0.689361,0.109114,-0.129672,-0.89105,-0.985894,1.55085,,,,,,,,,,
1120,3.11611,-1.00612,3.15534,-0.964287,-0.191782,0.858274,1.73824,1.16017,-0.175537,-0.430247,0.665534,-0.505961,1.84862,-0.821073,-0.490929,1.98253,0.969638,1.42292,1.17387,-0.978614,,,,,,,,,,
1121,1.0038,0.757216,0.627222,1.08162,-0.482156,-2.3968,-0.163861,-3.09274,-0.860917,0.341808,-1.48816,-0.782151,0.106381,1.20748,0.409722,-0.213311,0.164533,-1.37334,-1.42648,0.00698505,,,,,,,,,,
1122,-0.147814,-4.03121,6.69457,-4.13464,-3.97771,8.26148,-4.04734,-5.00665,0.96005,0.406651,-1.22202,-0.971015,5.36661,-0.456449,-4.60374,7.83668,-3.23362,-3.95978,1.48651,0.359362,,,,,,,,,,
1123,-1.76532,-0.569528,2.1729,-0.56219,-2.25747,1.54556,-2.63257,1.93244,1.13751,-0.98438,-0.9084,-0.421332,0.115499,-0.385501,-0.166471,0.643436,-2.33188,2.0814,0.51092,-0.762571,,,,,,,,,,
1124,-0.146077,-0.391434,0.713998,-0.32207,1.79694,1.36699,-0.536307,-1.92743,1.25251,-1.1601,-0.842045,0.723955,-0.184027,-0.139223,-0.395425,-0.0889174,-2.27092,0.480736,2.18843,-0.650459,,,,,,,,,,
1125,-0.0891507,-0.0690505,-3.45623,0.537865,-0.584887,-0.688637,0.9624,-0.0475692,0.962107,-0.604367,-1.12144,0.133525,-0.201379,0.823581,-0.424055,-0.234645,-0.956218,0.427702,0.863553,-0.6469,,,,,,,,,,
1126,-1.76287,1.49951,1.66674,-0.200852,-1.94881,-0.070293,-1.40555,1.82657,-0.328836,0.901939,0.0492046,0.608547,-0.865221,-0.767978,-1.08297,-0.523714,0.618065,0.644984,0.256431,-0.433827,,,,,,,,,,
1127,-0.392972,0.556801,-0.964983,1.84301,-0.72247,1.25928,-1.74342,1.19204,1.01325,-2.38639,-0.449409,-0.245489,-0.973735,-1.04438,0.182825,0.74591,-0.00608342,0.74103,0.93154,-1.88123,,,,,,,,,,
1128,-1.54023,0.325277,0.168576,-1.11676,-0.935231,1.61487,-0.478669,-0.268792,1.92659,-1.83522,0.425123,-0.0342516,-0.452821,-0.660052,-1.91484,1.68545,0.705394,-0.135011,-0.377632,-0.906026,,,,,,,,,,
1129,-1.26473,0.246041,-0.740332,-0.0314447,-0.65622,2.10883,-1.33749,2.11877,1.68596,-1.77372,-1.71389,-0.819266,-1.36684,0.438054,-0.628815,1.15585,-1.84728,1.28025,1.98333,-0.950359,,,,,,,,,,
1130,-3.25374,-2.60239,-0.000898898,-5.39362,-2.99807,1.22055,1.2296,-0.979383,0.982061,2.3131,-2.92876,-1.56067,0.617489,-2.20843,-0.516824,0.594092,0.386515,1.30027,-0.181447,0.834911,,,,,,,,,,
1131,-2.07735,-0.933722,0.774405,-1.60163,0.329875,-0.289153,0.411828,4.08206,-0.606911,0.521608,-0.706393,-1.29469,0.326883,-0.936275,0.870573,-1.02073,0.488749,1.8587,-1.37818,0.458959,,,,,,,,,,
1132,0.435314,-1.58189,-0.613332,-1.39574,0.601936,1.56671,2.61469,-0.0105593,0.648297,-0.00166097,-0.533523,-0.0900585,-1.19355,-0.363815,-0.698103,0.405861,0.646911,-0.20972,-0.0800117,-0.305612,,,,,,,,,,
1133,2.00967,-0.965039,0.987088,-4.06131,0.602064,2.3302,1.95124,0.267514,-1.35067,-0.545832,-0.805734,-0.944582,0.0269056,-1.485,0.763437,0.855823,0.416451,-0.0789388,0.256284,0.372785,,,,,,,,,,
1134,-0.115334,0.350762,-1.42801,2.90972,-0.363045,0.0627563,0.606684,-0.0151237,0.296166,1.33344,-1.80101,-1.293,-0.991521,-0.00680621,1.03311,1.29475,0.699346,-0.199906,1.26158,1.28341,,,,,,,,,,
1135,0.428012,-2.26981,1.20257,-1.25493,-2.58398,0.568718,2.00385,-0.719932,-0.15077,0.471215,-1.5307,-1.31929,0.637619,0.438583,-0.249244,-0.289662,0.603328,0.642028,-0.949153,0.116933,,,,,,,,,,
1136,0.436639,3.49991,0.857924,-0.266295,-0.082055,-1.3713,1.12654,1.30039,1.76297,-0.798395,1.2544,1.57,-1.76041,0.264304,0.590351,-0.042702,-0.00744758,1.60318,2.22406,-1.21139,,,,,,,,,,
1137,3.59272,2.2778,-1.49307,1.27875,0.215562,-2.00898,-0.848114,-2.20573,0.848199,1.29805,1.62879,1.1052,-0.107058,0.244788,0.509282,-1.23427,0.150683,-0.0466379,-0.383495,2.24468,,,,,,,,,,
1138,2.33604,-1.49455,3.18408,-3.74472,1.77304,-0.00486812,0.0894218,-2.08272,0.907458,-2.57726,0.105205,-0.941972,1.76686,-1.87694,1.05407,0.495077,-0.398369,-1.08839,1.35836,-0.366232,,,,,,,,,,
1139,-1.26593,0.188947,2.0917,0.694224,-0.924197,-0.641231,-3.20892,-1.809,1.09516,-0.407629,-1.50164,0.587814,1.30313,0.0167395,-0.924506,-1.29757,-1.95459,-0.22987,1.40226,0.72669,,,,,,,,,,
1140,1.44159,0.0313285,2.60009,-0.411484,-1.07711,-0.7628,-0.146667,1.19673,1.50126,-1.43367,0.390488,-0.239359,1.85704,-1.43239,-0.0413081,-1.24795,-0.564864,1.04813,1.50019,-0.031395,,,,,,,,,,
1141,1.20119,-1.56853,0.499409,0.704412,-1.01133,0.266964,-2.47802,1.75849,0.427724,5.22783,-0.030442,-0.49774,-0.358068,0.763411,-1.38644,0.266716,-1.01948,1.70459,1.07045,2.24782,,,,,,,,,,
1142,-0.562286,-0.7569,0.345992,-4.30614,0.788768,-1.6297,1.35382,-2.11602,-0.371016,-0.810793,-0.598363,-0.17092,-0.367036,-1.85616,0.197649,0.0170267,-0.652913,-1.16913,0.126584,0.4083,,,,,,,,,,
1143,0.672291,-0.117063,-0.810013,-0.82881,1.87087,-0.416419,-0.0957557,0.678508,-0.652094,2.24831,0.130251,-0.278411,-0.315141,-0.848734,0.592674,-0.28227,-0.290606,0.990177,-0.659568,1.26375,,,,,,,,,,
1144,2.55997,-0.220734,1.14165,-1.33254,4.31679,-0.183439,0.00785518,-1.36287,-0.350892,-1.33833,1.34705,1.48781,-0.125535,-0.427678,2.97481,-1.30145,1.63205,0.047563,0.473273,-2.02578,,,,,,,,,,
1145,-1.81059,-0.323796,1.18863,0.702486,-0.967654,2.84346,2.73829,-0.417798,1.00618,2.02645,-0.346414,0.229926,0.834687,-0.102492,-0.65256,0.767281,0.503151,0.062077,0.355602,1.49088,,,,,,,,,,
1146,0.116752,3.33921,0.749587,0.609754,0.347262,-0.80729,0.651196,1.82528,-1.46271,-1.94975,0.79043,1.79638,0.747408,0.544074,1.37313,-0.317637,0.199661,1.49486,-1.84146,-0.532059,,,,,,,,,,
1147,0.159994,2.15909,3.71144,1.65027,1.32757,-3.44829,1.46908,1.96499,-0.398421,0.066777,-0.615898,0.529679,1.80983,-0.295236,-0.177138,-2.11628,-0.0554882,2.05113,0.86664,-0.246933,,,,,,,,,,
1148,-0.845875,4.32953,-1.99366,0.723954,-2.49954,1.22331,1.37329,-1.91613,-1.43533,0.176014,0.25974,3.17531,-0.672339,0.622174,-1.39243,-0.436744,-0.390748,-1.26396,-0.60029,1.68186,,,,,,,,,,
1149,0.342292,2.22479,-0.767953,1.75516,3.8551,2.42679,1.82806,2.31129,-1.64909,-0.657498,0.534283,0.573983,-0.425795,1.90228,0.432746,0.433473,2.70199,1.57991,0.145849,0.303749,,,,,,,,,,
1150,-0.601281,3.50102,-1.24394,1.17613,0.631726,-0.878827,1.97901,-1.33209,0.32287,-2.44192,-1.28478,2.11101,-1.24537,-0.0882195,-0.392719,-2.01729,0.297254,0.970953,-0.599895,-0.529044,,,,,,,,,,
1151,-1.47987,4.76966,-0.937731,2.48562,1.19537,0.97484,-0.180695,1.06264,2.10981,-1.32457,-0.976826,3.06749,-0.771092,2.49996,0.264291,-0.160136,0.598086,1.27651,1.04934,-0.374833,,,,,,,,,,
1152,-0.574708,0.557611,-2.40416,-1.52384,0.360534,0.402547,1.00536,-0.924754,0.109678,1.06843,-0.321813,0.52185,-1.58306,-1.17841,0.0418761,-0.262107,0.0834804,-1.13028,-0.494823,0.179932,,,,,,,,,,
1153,-1.90765,0.675406,-0.198162,-3.36775,1.95437,2.02425,1.82467,-3.45849,1.51833,-1.93682,-1.78011,-0.245533,0.248794,-2.10611,1.05686,1.06674,1.83827,-1.21755,0.865161,-1.10036,,,,,,,,,,
1154,4.26718,-0.249496,1.93444,1.66894,0.906505,0.300197,-1.43822,-0.179268,0.489611,1.26715,1.65045,-1.64521,1.54141,1.05821,-0.35036,-0.326483,0.235057,1.03904,-0.00271336,0.328657,,,,,,,,,,
1155,-0.973298,1.92285,-1.6336,1.36136,0.142633,0.178695,2.44861,-0.795279,-1.93586,2.03155,0.920004,0.770919,-0.698051,-0.894107,0.360386,-0.253603,0.142258,-0.830969,0.0517208,1.35485,,,,,,,,,,
1156,2.06214,0.919972,-0.673828,0.0138458,0.619115,0.3641,2.83576,1.17931,-1.03516,1.42702,0.614121,0.506435,-0.708754,1.008,0.498706,0.116222,1.68502,0.490888,1.16134,1.88266,,,,,,,,,,
1157,-0.560167,0.354909,-0.654546,-0.193827,1.49221,-0.52984,-2.70253,-2.53222,-2.57824,1.6322,-0.189778,-0.500638,-0.49258,0.632468,1.12392,0.37469,-2.55454,0.264528,-1.31144,1.04876,,,,,,,,,,
1158,-0.645014,-1.95424,2.03156,-3.18068,-1.02197,1.74713,-2.58813,-0.170378,-0.1746,1.86567,-0.682901,-0.0791387,0.621819,-0.541799,0.838076,0.439766,-1.55431,-0.401034,-0.272552,1.8129,,,,,,,,,,
1159,3.28528,-1.36485,2.0598,-0.927255,2.77398,-2.25648,0.447488,-0.73907,0.686255,1.37264,1.07761,-0.202261,0.135572,-0.648024,2.91914,-1.4632,0.422835,-0.161202,0.268994,0.881477,,,,,,,,,,
1160,2.65925,3.25556,3.04899,1.33625,3.45485,1.07681,0.962255,-0.921813,-0.941045,0.26793,0.191297,2.60834,1.35529,0.917652,1.47243,-0.0642142,-0.712876,-0.132292,-1.31743,0.305833,,,,,,,,,,
1161,1.50755,1.54219,0.227478,-1.58035,2.22325,0.778277,-0.330621,-1.52977,0.638665,0.335854,0.509575,1.63232,0.551095,-1.40622,1.15081,0.337304,0.507188,-0.79333,-0.470838,0.0191155,,,,,,,,,,
1162,1.98674,3.15455,-3.46561,0.785363,0.99383,0.544681,1.60705,1.27786,1.89581,1.19055,1.46337,1.08831,-0.641716,-0.547993,0.428064,-0.0958894,1.38576,0.224349,1.95473,0.0222996,,,,,,,,,,
1163,2.95437,-3.79365,0.770123,2.45506,0.17494,-1.47678,1.57689,-1.03814,-0.140737,3.55647,2.13287,-2.43803,0.44387,1.75423,-0.0948636,-0.626933,-0.362954,-1.41961,0.124093,2.34223,,,,,,,,,,
1164,1.44037,0.408267,0.701631,1.1182,0.897878,-1.07768,-1.89372,0.491152,0.104085,2.68733,1.23194,-0.73765,1.23737,0.366531,0.549022,-1.08223,-1.5836,-0.882746,-0.405272,2.91283,,,,,,,,,,
1165,0.575854,2.95665,-0.0456095,1.64572,1.85975,-0.550023,1.40342,-1.19278,-0.985894,-0.537653,1.49502,2.32352,-0.577248,0.644095,-0.247202,-0.522363,0.581464,-0.203562,-1.23967,-0.17892,,,,,,,,,,
1166,1.69307,3.35919,0.321529,-0.295379,1.35739,1.13848,0.443488,-0.849275,0.54712,0.933075,0.825901,1.32196,0.180397,0.284088,1.25192,1.5386,-0.587318,-0.507101,-0.0938812,0.381218,,,,,,,,,,
1167,-0.110164,-0.803786,0.348603,-2.7585,4.10477,-0.203032,-0.169765,-2.12281,0.00901926,-0.333095,-1.30323,-0.0395071,-1.01112,-1.13151,1.81259,-0.746053,0.535244,0.00171775,0.870368,0.181008,,,,,,,,,,
1168,-1.22607,-2.55773,-0.320611,-3.29032,1.64888,-0.807546,-1.05341,-0.997636,0.963388,-1.1886,-0.396616,-0.89576,1.4509,-1.85771,0.536611,-0.226149,-0.221737,-0.434603,1.07712,0.51858,,,,,,,,,,
1169,-0.147128,1.85154,2.60578,0.199804,1.24713,-0.497849,2.64335,1.36618,-0.411138,1.09238,0.398392,1.61023,2.34071,0.117325,-0.0151386,-1.22472,0.956337,1.98075,-1.57804,1.49966,,,,,,,,,,
1170,0.445488,-0.402049,0.886832,-0.267288,-1.49093,-1.87184,1.84074,1.5048,-2.58926,-0.452098,0.920154,0.37489,1.54492,-0.0810544,-2.06086,0.0790819,1.62629,0.0601591,0.0564896,0.202369,,,,,,,,,,
1171,0.811184,-3.00735,-0.827088,-0.0309543,0.484218,3.41734,-1.56576,1.10041,0.656491,-1.44391,0.164224,-0.686715,-0.208747,-0.378966,0.820563,2.1383,-0.737405,-1.35289,1.73448,-1.5642,,,,,,,,,,
1172,-0.840391,-0.396943,-2.58977,-2.15673,-0.115939,0.743582,0.602055,1.72672,1.66086,2.14045,0.490896,1.03377,-0.987562,-0.120162,-0.796898,0.654061,1.33723,1.13032,1.00768,1.03452,,,,,,,,,,
1173,0.66348,2.73407,0.338041,0.478033,0.495613,-0.0162,2.37385,-0.226648,2.0198,-0.246503,1.72692,1.89112,-0.22141,-0.760966,-0.426759,0.722679,1.82516,0.938725,0.433352,0.658276,,,,,,,,,,
1174,-1.59379,0.89314,1.8685,0.634971,1.53821,1.18149,-0.53395,-2.10318,1.67975,0.0885914,0.77506,1.88583,1.31487,2.66094,1.32175,0.676424,0.485217,-3.71177,0.573834,0.753564,,,,,,,,,,
1175,0.954525,2.06956,-1.11656,2.80148,2.67925,2.04563,2.27036,-0.892338,1.35601,2.48594,-0.00808891,1.8249,-0.807047,2.75136,0.949421,1.74403,0.1872,-1.64674,0.60191,0.567006,,,,,,,,,,
1176,0.195421,0.662584,-0.221769,0.00461811,2.78705,-1.64096,1.02575,-1.62503,3.16539,0.650999,-0.807497,1.21424,-0.639695,-0.268328,-0.67319,0.0345874,1.12911,0.0984698,1.52951,1.15516,,,,,,,,,,
1177,-0.0545796,1.47637,0.836948,-0.384558,0.162614,0.835454,0.31822,-0.00522123,-1.1693,-1.52056,-0.769226,2.1846,-0.310776,0.704017,-0.874919,-0.0153091,-1.02077,0.0946163,-0.852701,0.770234,,,,,,,,,,
1178,2.87481,0.151714,-0.396226,-1.69921,-2.18288,0.639369,-0.597657,-1.56537,0.444543,0.703963,2.22756,0.0403529,1.4147,-0.182956,0.54837,0.50641,-1.08389,-0.0243708,0.0636278,0.611317,,,,,,,,,,
1179,0.442834,0.529999,-1.42514,-0.829958,-1.41891,0.131815,0.371368,-2.07084,2.16672,2.71351,0.758329,0.0357856,-0.403421,-0.416591,1.13659,0.1135,-0.243547,-0.742036,1.4094,0.914433,,,,,,,,,,
